# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003740.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/counts.txt" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_F_plus_R.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_WO.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_F_plus_R.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_WO.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted.bam
Tb927.3.4730	Tb927_03_v5.1	1336586	1337962	-	1377	498	375	123	2504
Tb927.3.4740	Tb927_03_v5.1	1338096	1339418	-	1323	426	277	149	785
Tb927.3.4750	Tb927_03_v5.1	1339545	1342389	-	2845	1306	1027	279	2289
Tb927.3.4760	Tb927_03_v5.1	1342630	1346506	-	3877	433	354	79	2976
Tb927.3.4770	Tb927_03_v5.1	1346761	1347986	-	1226	350	238	112	1084
Tb927.3.4780	Tb927_03_v5.1	1348120	1349442	-	1323	419	275	144	936
Tb927.3.4790	Tb927_03_v5.1	1349765	1352413	-	2649	1326	1013	313	2367
Tb927.3.4800	Tb927_03_v5.1	1352639	1354592	-	1954	416	258	158	665
Tb927.3.4810	Tb927_03_v5.1;Tb927_03_v5.1	1354950;1354950	1356515;1355766	-;-	1566	333	170	163	865
Tb927.3.4820	Tb927_03_v5.1	1355989	1358388	-	2400	1026	809	217	2627
Tb927.3.4830	Tb927_03_v5.1	1358917	1361420	-	2504	583	411	172	1825
Tb927.3.4840	Tb927_03_v5.1	1362003	1365220	-	3218	666	486	180	3168
Tb927.3.4850	Tb927_03_v5.1	1364414	1368019	-	3606	981	751	230	2287
Tb927.3.4860	Tb927_03_v5.1	1368289	1369499	-	1211	70	57	13	74
Tb927.3.4870	Tb927_03_v5.1;Tb927_03_v5.1	1369724;1369724	1370695;1370764	-;-	1041	56	52	4	65
Tb927_03_v4.snoRNA.0100	Tb927_03_v5.1	1370335	1370433	+	99	0	0	0	0
Tb927.3.4880	Tb927_03_v5.1	1372191	1372755	-	565	248	149	99	373
Tb927.3.4890	Tb927_03_v5.1	1372947	1373571	-	625	376	314	62	813
Tb927.3.4900	Tb927_03_v5.1	1376018	1377455	+	1438	1129	634	495	2894
Tb927.3.4910	Tb927_03_v5.1	1377581	1378855	+	1275	805	480	325	935
Tb927.3.4920	Tb927_03_v5.1	1378996	1380959	+	1964	579	486	93	1757
Tb927.3.4930	Tb927_03_v5.1	1382454	1383148	+	695	71	35	36	76
Tb927.3.4940	Tb927_03_v5.1	1383288	1386855	+	3568	1184	839	345	2762
Tb927.3.4950	Tb927_03_v5.1	1386977	1388502	+	1526	428	239	189	786
Tb927.3.4960	Tb927_03_v5.1	1388719	1395086	+	6368	1733	1260	473	3265
Tb927.3.4970	Tb927_03_v5.1	1395259	1398792	+	3534	562	432	130	3356
Tb927.3.4980	Tb927_03_v5.1	1399175	1401010	+	1836	1014	580	434	1766
Tb927.3.4990	Tb927_03_v5.1	1402185	1403610	+	1426	989	746	243	4284
Tb927.3.5000	Tb927_03_v5.1	1403982	1405842	+	1861	685	469	216	952
Tb927.3.5010	Tb927_03_v5.1	1405984	1407746	+	1763	357	302	55	501
Tb927.3.5020	Tb927_03_v5.1	1407902	1412485	+	4584	2394	1663	731	4615
Tb927.3.5030	Tb927_03_v5.1	1412930	1415199	+	2270	1343	1018	325	2120
Tb927.3.5040	Tb927_03_v5.1	1415521	1417473	+	1953	269	137	132	409
Tb927.3.5050	Tb927_03_v5.1	1417688	1418920	+	1233	29	20	9	57
Tb927.3.5060	Tb927_03_v5.1	1419106	1420764	+	1659	463	373	90	4324
Tb3.NT.66	Tb927_03_v5.1	1420898	1421096	+	199	6	1	5	6
Tb927.3.5070	Tb927_03_v5.1	1421164	1424174	+	3011	390	292	98	1508
Tb927.3.5080	Tb927_03_v5.1	1423885	1428969	+	5085	1310	999	311	2109
Tb927.3.5090	Tb927_03_v5.1	1428758	1429640	+	883	2117	683	1434	2856
Tb927.3.5100	Tb927_03_v5.1	1430411	1433425	+	3015	889	624	265	1922
Tb927.3.5110	Tb927_03_v5.1	1433760	1435292	+	1533	703	612	91	1449
Tb927.3.5120	Tb927_03_v5.1	1435679	1438022	+	2344	2740	1436	1304	6183
Tb927.3.5130	Tb927_03_v5.1	1438351	1440624	+	2274	842	704	138	2175
Tb927.3.5140	Tb927_03_v5.1	1440801	1445019	+	4219	896	790	106	7158
Tb927.3.5150	Tb927_03_v5.1	1445701	1447128	+	1428	430	367	63	1632
Tb927.3.5160	Tb927_03_v5.1	1447240	1452012	+	4773	2547	1935	612	5362
Tb927.3.5170	Tb927_03_v5.1	1452140	1453632	+	1493	380	340	40	831
Tb927.3.5180	Tb927_03_v5.1	1453785	1455250	+	1466	387	337	50	1059
Tb927.3.5190	Tb927_03_v5.1	1455437	1459102	+	3666	1046	800	246	3651
Tb927.3.5200	Tb927_03_v5.1	1459261	1460747	+	1487	461	385	76	1582
Tb927.3.5210	Tb927_03_v5.1	1460900	1463290	+	2391	1014	951	63	3509
Tb927.3.5220	Tb927_03_v5.1	1463417	1465599	+	2183	585	369	216	1386
Tb927.3.5230	Tb927_03_v5.1	1468380	1470750	+	2371	1336	889	447	2575
Tb927.3.5240	Tb927_03_v5.1	1470928	1472888	+	1961	1189	777	412	2502
Tb927.3.5250	Tb927_03_v5.1	1473200	1477510	+	4311	974	823	151	2512
Tb927.3.5260	Tb927_03_v5.1	1479700	1481437	+	1738	699	516	183	2908
Tb927.3.5270	Tb927_03_v5.1	1481538	1482494	+	957	361	286	75	547
Tb927.3.5280	Tb927_03_v5.1	1482597	1483755	+	1159	267	174	93	516
Tb927.3.5290	Tb927_03_v5.1	1483878	1487020	+	3143	1300	792	508	1776
Tb927.3.5300	Tb927_03_v5.1	1487507	1488316	+	810	108	94	14	188
Tb927.3.5310	Tb927_03_v5.1	1488474	1495456	+	6983	1450	972	478	2586
Tb927.3.5320	Tb927_03_v5.1	1495705	1497604	+	1900	793	521	272	1890
Tb927.3.5330	Tb927_03_v5.1	1497756	1498827	+	1072	158	132	26	201
Tb927.3.5340	Tb927_03_v5.1	1499002	1500498	+	1497	676	504	172	1151
Tb927.3.5350	Tb927_03_v5.1	1500661	1502104	+	1444	412	334	78	5042
Tb927.3.5360	Tb927_03_v5.1	1502268	1503097	+	830	366	202	164	518
Tb927.3.5370	Tb927_03_v5.1	1504120	1505708	+	1589	486	304	182	987
Tb927.3.5380	Tb927_03_v5.1	1505831	1507777	+	1947	1186	871	315	6164
Tb927.3.5390	Tb927_03_v5.1	1508164	1511945	+	3782	216	139	77	497
Tb927.3.5400	Tb927_03_v5.1	1512077	1514072	+	1996	1593	1330	263	3100
Tb927.3.5410	Tb927_03_v5.1	1514197	1515076	+	880	359	281	78	575
Tb927.3.5420	Tb927_03_v5.1	1515376	1518439	+	3064	1580	1123	457	4173
Tb927.3.5430	Tb927_03_v5.1	1519471	1520580	+	1110	254	108	146	454
Tb927.3.5440	Tb927_03_v5.1	1521306	1526051	+	4746	4370	2313	2057	9829
Tb927.3.5450	Tb927_03_v5.1	1526191	1529718	+	3528	1547	1119	428	2364
Tb927.3.5460	Tb927_03_v5.1	1529352	1531555	+	2204	1166	668	498	2151
Tb927.3.5470	Tb927_03_v5.1	1531656	1532939	+	1284	97	78	19	123
Tb927.3.5480	Tb927_03_v5.1	1533067	1534922	+	1856	499	416	83	1616
Tb927.3.5490	Tb927_03_v5.1	1535025	1537910	+	2886	400	331	69	3789
Tb927.3.5500	Tb927_03_v5.1	1538179	1539265	+	1087	103	59	44	221
Tb927.3.5510	Tb927_03_v5.1	1539492	1542178	+	2687	314	253	61	547
Tb927.3.5520	Tb927_03_v5.1	1542625	1545648	+	3024	215	193	22	2024
Tb927.3.5530	Tb927_03_v5.1	1547337	1555793	+	8457	3864	2744	1120	8292
Tb927.3.5540	Tb927_03_v5.1	1555909	1558125	+	2217	175	103	72	184
Tb927.3.5550	Tb927_03_v5.1	1558248	1559338	+	1091	278	165	113	1128
Tb927.3.5560	Tb927_03_v5.1	1559566	1560194	+	629	346	177	169	470
Tb927.3.5570	Tb927_03_v5.1	1560358	1561512	+	1155	262	203	59	1411
Tb927.3.5580	Tb927_03_v5.1	1561668	1563208	+	1541	260	200	60	1207
Tb927.3.5590	Tb927_03_v5.1	1563363	1565502	+	2140	530	475	55	1887
Tb927.3.5600	Tb927_03_v5.1	1565890	1566861	+	972	367	311	56	1054
Tb927.3.5610	Tb927_03_v5.1	1566997	1568423	+	1427	789	316	473	841
Tb927.3.5620	Tb927_03_v5.1	1568664	1572607	+	3944	965	872	93	3831
Tb927.3.5630	Tb927_03_v5.1	1572749	1573724	+	976	556	428	128	888
Tb927.3.5640	Tb927_03_v5.1	1573934	1575623	+	1690	1814	1112	702	2811
Tb927.3.5650	Tb927_03_v5.1	1575993	1580457	+	4465	1365	1148	217	3241
Tb927.3.5660	Tb927_03_v5.1	1580614	1583258	+	2645	340	209	131	654
Tb927.3.5670	Tb927_03_v5.1	1583384	1584075	+	692	935	607	328	1562
Tb927.3.5680	Tb927_03_v5.1	1585958	1587472	+	1515	186	126	60	391
Tb927.3.5690	Tb927_03_v5.1	1589037	1593944	+	4908	2015	1255	760	3729
Tb927.3.5700	Tb927_03_v5.1	1594758	1595829	+	1072	850	667	183	1320
Tb927.3.5710	Tb927_03_v5.1	1596636	1597707	+	1072	921	685	236	1366
Tb927.3.5720	Tb927_03_v5.1	1598448	1599522	+	1075	420	274	146	556
Tb927.3.5730	Tb927_03_v5.1	1600328	1601399	+	1072	651	406	245	744
Tb927.3.5740	Tb927_03_v5.1	1601609	1602329	+	721	304	202	102	585
Tb927.3.5750	Tb927_03_v5.1	1603691	1605543	-	1853	913	714	199	1859
Tb927.3.5760	Tb927_03_v5.1	1605884	1608396	-	2513	378	243	135	720
Tb927.3.5770	Tb927_03_v5.1	1608770	1612137	-	3368	1009	619	390	1504
Tb927.3.5780	Tb927_03_v5.1	1613228	1618931	+	5704	2153	1539	614	3844
Tb927.3.5790	Tb927_03_v5.1	1620335	1622149	+	1815	315	209	106	8121
Tb927.3.5800	Tb927_03_v5.1	1623201	1625552	+	2352	624	520	104	1149
Tb927.3.5810	Tb927_03_v5.1	1626012	1627306	+	1295	184	123	61	322
Tb927.3.5820	Tb927_03_v5.1	1627481	1628605	+	1125	383	266	117	571
Tb927.3.5830	Tb927_03_v5.1	1628732	1629709	+	978	126	62	64	194
Tb927.3.5850	Tb927_03_v5.1	1637900	1639342	-	1443	499	295	204	621
Tb927.3.5860	Tb927_03_v5.1	1641295	1642892	-	1598	98	83	15	571
Tb927.3.5870	Tb927_03_v5.1	1644624	1645145	-	522	98	72	26	106
Tb927.3.5880	Tb927_03_v5.1	1645938	1647798	-	1861	1225	937	288	2227
Tb927.3.5890	Tb927_03_v5.1	1648542	1650097	-	1556	58	48	10	59
Tb927.3.5900	Tb927_03_v5.1	1651983	1653225	-	1243	50	45	5	157
Tb09.v4.0162	tryp_IXb-68a05.p2k3050	120	2922	+	2803	689	459	230	1215
Tb09.v4.0163	tryp_IXb-68a05.p2k3050	2942	4558	+	1617	1007	762	245	2131
Tb09.v4.0164	tryp_IXb-68a05.p2k3050	6432	7850	+	1419	377	268	109	474
Tb09.v4.0165	tryp_IXb-68a05.p2k3050	12727	13433	+	707	77	54	23	207
Tb09.v4.0166	tryp_IXb-68a05.p2k3050	15190	16749	+	1560	440	362	78	1501
Tb09.v4.0167	tryp_IXb-68a05.p2k3050	17995	19032	+	1038	256	218	38	461
Tb09.v4.0168	tryp_IXb-68a05.p2k3050	19221	20786	+	1566	478	260	218	876
Tb09.v4.0169	tryp_IXb-68a05.p2k3050	22612	24081	+	1470	137	83	54	246
Tb09.v4.0170	tryp_IXb-68a05.p2k3050	26400	27527	+	1128	151	133	18	561
Tb09.v4.0171	tryp_IXb-68a05.p2k3050	29583	35903	+	6321	1633	1223	410	2285
Tb09.v4.0172	tryp_IXb-68a05.p2k3050	36634	37606	+	973	486	362	124	1075
Tb09.v4.0173	tryp_IXb-68a05.p2k3050	38050	39542	+	1493	333	209	124	704
Tb09.v4.0174	tryp_IXb-68a05.p2k3050	41569	43143	+	1575	644	442	202	1415
Tb09.v4.0175	tryp_IXb-68a05.p2k3050	44648	46104	+	1457	550	443	107	919
Tb09.v4.0176	tryp_IXb-68a05.p2k3050	47357	48107	+	751	79	55	24	102
Tb09.v4.0177	tryp_IXb-68a05.p2k3050	53030	57418	+	4389	805	666	139	1567
Tb09.v4.0178	tryp_IXb-68a05.p2k3050	60320	61634	+	1315	1539	1172	367	3312
Tb2.NT.1	Tb927_02_v5.1	10	723	-	714	1794	1296	498	3070
Tb927.2.100	Tb927_02_v5.1	1683	4236	-	2554	3243	2378	865	5359
Tb927.2.160	Tb927_02_v5.1	9690	11535	+	1846	2464	1732	732	3888
Tb927.2.170	Tb927_02_v5.1	11866	18011	+	6146	9599	6037	3562	16796
Tb927.2.200	Tb927_02_v5.1	18121	21832	+	3712	4636	3016	1620	8748
Tb927.2.220	Tb927_02_v5.1	23835	24984	-	1150	774	514	260	1741
Tb927.2.240	Tb927_02_v5.1	25548	27622	-	2075	2320	1673	647	3280
Tb927.2.270	Tb927_02_v5.1	31017	32823	-	1807	2130	1474	656	3291
Tb927.2.280	Tb927_02_v5.1	35293	38199	-	2907	1830	1313	517	2867
Tb927.2.300	Tb927_02_v5.1	43075	45675	-	2601	3110	2246	864	4704
Tb927.2.340	Tb927_02_v5.1	46128	48793	-	2666	1494	1024	470	3609
Tb927.2.370	Tb927_02_v5.1	55593	58404	-	2812	2735	1754	981	4024
Tb927.2.380	Tb927_02_v5.1	60894	63800	-	2907	2834	2021	813	3659
Tb927.2.400	Tb927_02_v5.1	66261	69167	-	2907	1938	1410	528	2327
Tb927.2.420	Tb927_02_v5.1	74059	76659	-	2601	4229	3100	1129	6805
Tb927.2.450	Tb927_02_v5.1	77112	79774	-	2663	2759	2171	588	5337
Tb927.2.460	Tb927_02_v5.1	83798	86389	-	2592	3305	2371	934	10475
Tb927.2.470	Tb927_02_v5.1	86844	90931	-	4088	1766	1245	521	5011
Tb927.2.480	Tb927_02_v5.1	89759	94133	-	4375	1890	1335	555	2787
Tb927.2.490	Tb927_02_v5.1	95001	97492	-	2492	1902	1423	479	3190
Tb927.2.510	Tb927_02_v5.1	98073	100650	-	2578	2145	1391	754	4415
Tb927.2.540	Tb927_02_v5.1	105096	108123	-	3028	3928	2877	1051	6935
Tb927.2.560	Tb927_02_v5.1	108732	111333	-	2602	2750	1770	980	4840
Tb927.2.650	Tb927_02_v5.1	118323	119201	+	879	2396	1720	676	3162
Tb927.2.660	Tb927_02_v5.1	119465	123178	+	3714	4613	3022	1591	7981
Tb927.2.680	Tb927_02_v5.1	124183	125050	+	868	1527	1144	383	2768
Tb927.2.690	Tb927_02_v5.1	125307	133253	+	7947	7345	4789	2556	12888
Tb927.2.720	Tb927_02_v5.1	132369	140458	+	8090	7666	5197	2469	14782
Tb927.2.820	Tb927_02_v5.1	140725	142308	-	1584	3022	2294	728	4265
Tb927.2.830	Tb927_02_v5.1	143717	144837	-	1121	994	825	169	2613
Tb927.2.900	Tb927_02_v5.1	151837	153619	+	1783	3125	1904	1221	4082
Tb927.2.910	Tb927_02_v5.1	153717	156642	+	2926	3346	2578	768	5195
Tb927.2.940	Tb927_02_v5.1	157654	158457	+	804	931	590	341	1357
Tb927.2.950	Tb927_02_v5.1	158783	164921	+	6139	6385	4306	2079	11871
Tb927.2.960	Tb927_02_v5.1	164260	167528	+	3269	1279	959	320	5122
Tb927.2.980	Tb927_02_v5.1	166650	174630	+	7981	8928	6569	2359	15746
Tb927.2.1050	Tb927_02_v5.1	174643	176720	-	2078	1793	1103	690	2420
Tb927.2.1060	Tb927_02_v5.1	177859	178692	-	834	536	382	154	668
Tb927.2.1080	Tb927_02_v5.1	178829	181713	-	2885	1799	1359	440	5612
Tb927.2.1100	Tb927_02_v5.1	184197	186894	-	2698	2170	1532	638	3208
Tb927.2.1110	Tb927_02_v5.1	187019	190235	-	3217	3731	2597	1134	5584
Tb927.2.1120	Tb927_02_v5.1	190725	192910	-	2186	2590	1834	756	4450
Tb927.2.1130	Tb927_02_v5.1	193038	197338	-	4301	3053	2057	996	5344
Tb927.2.1140	Tb927_02_v5.1	197308	198680	-	1373	803	589	214	1949
Tb927.2.1150	Tb927_02_v5.1	201101	203037	-	1937	1512	1002	510	2984
Tb927.2.1160	Tb927_02_v5.1	203618	204976	-	1359	1554	1229	325	4250
Tb927.2.1170	Tb927_02_v5.1	205540	207617	-	2078	2060	1447	613	3703
Tb927.2.1180	Tb927_02_v5.1	210041	212736	-	2696	4390	3187	1203	9352
Tb927.2.1200	Tb927_02_v5.1	212981	219351	-	6371	4787	3440	1347	11376
Tb927.2.1210	Tb927_02_v5.1	219959	226625	-	6667	4965	3184	1781	10570
Tb927.2.1250	Tb927_02_v5.1	229530	230553	+	1024	1120	782	338	1606
Tb927.2.1260	Tb927_02_v5.1	230672	234354	+	3683	3707	2487	1220	6060
Tb927.2.1290	Tb927_02_v5.1	234778	235442	+	665	665	486	179	2395
Tb927.2.1310	Tb927_02_v5.1	236387	245245	+	8859	6134	4141	1993	9926
Tb927.2.1330	Tb927_02_v5.1	244362	247458	+	3097	1399	894	505	2307
Tb927.2.1344	Tb927_02_v5.1	248904	249150	+	247	200	147	53	245
Tb927.2.1350	Tb927_02_v5.1	249152	250379	-	1228	1117	923	194	4765
Tb927.2.1380	Tb927_02_v5.1	250916	257272	+	6357	3804	2596	1208	7479
Tb927.2.1389	Tb927_02_v5.1	260224	260359	-	136	117	98	19	432
Tb927.2.1398	Tb927_02_v5.1	260682	260759	-	78	71	56	15	101
Tb927.2.1407	Tb927_02_v5.1	261083	261265	-	183	71	58	13	152
Tb927.2.1416	Tb927_02_v5.1	261403	262886	-	1484	2020	1638	382	5905
Tb927.2.1425	Tb927_02_v5.1	262963	263177	-	215	187	136	51	728
Tb927.2.1434	Tb927_02_v5.1	263372	265201	-	1830	2951	2441	510	9742
Tb927.2.1443	Tb927_02_v5.1	265783	265954	-	172	483	344	139	1159
Tb927.2.1452	Tb927_02_v5.1	266299	268549	-	2251	5935	4923	1012	19637
Tb927.2.1460	Tb927_02_v5.1	270437	275473	+	5037	4072	2799	1273	7975
Tb927.2.1470	Tb927_02_v5.1	276190	277487	+	1298	2086	1544	542	5186
Tb927.2.1480	Tb927_02_v5.1	278563	278698	-	136	147	123	24	498
Tb927.2.1490	Tb927_02_v5.1	279021	279098	-	78	59	43	16	88
Tb927.2.1500	Tb927_02_v5.1	279422	279604	-	183	72	60	12	171
Tb927.2.1510	Tb927_02_v5.1	279742	281225	-	1484	1902	1527	375	5387
Tb927.2.1520	Tb927_02_v5.1	281302	281516	-	215	202	160	42	735
Tb927.2.1530	Tb927_02_v5.1	281711	283540	-	1830	3106	2614	492	10584
Tb927.2.1540	Tb927_02_v5.1	284122	284293	-	172	540	399	141	1201
Tb927.2.1550	Tb927_02_v5.1	284636	286886	-	2251	6189	5133	1056	19890
Tb927.2.1560	Tb927_02_v5.1	304562	305320	-	759	462	356	106	583
Tb927.2.1600	Tb927_02_v5.1	305850	307642	-	1793	1584	1087	497	3548
Tb927.2.1680	Tb927_02_v5.1	315629	316387	+	759	363	282	81	553
Tb2.NT.3	Tb927_02_v5.1	316546	317056	+	511	21	9	12	21
Tb927.2.1700	Tb927_02_v5.1	317193	321148	+	3956	1038	901	137	5236
Tb927.2.1720	Tb927_02_v5.1	321262	321705	+	444	115	36	79	118
Tb927.2.1730	Tb927_02_v5.1	321812	322641	+	830	516	308	208	709
Tb927.2.1740	Tb927_02_v5.1	322758	325262	+	2505	842	516	326	2239
Tb927.2.1760	Tb927_02_v5.1	325383	328298	+	2916	674	451	223	2653
Tb927.2.1770	Tb927_02_v5.1	328419	328699	+	281	52	37	15	55
Tb927.2.1780	Tb927_02_v5.1	328953	330346	+	1394	1603	1110	493	3473
Tb927.2.1790	Tb927_02_v5.1	330793	331314	+	522	378	267	111	713
Tb927.2.1800	Tb927_02_v5.1	331434	335342	+	3909	1807	1519	288	4897
Tb927.2.1810	Tb927_02_v5.1	335451	339172	+	3722	1655	1309	346	3402
Tb927.2.1820	Tb927_02_v5.1	339492	344261	+	4770	726	473	253	1379
Tb927.2.1850	Tb927_02_v5.1	344878	346852	+	1975	406	329	77	667
Tb927.2.1860	Tb927_02_v5.1	347003	349648	+	2646	2486	1736	750	5316
Tb927.2.1890	Tb927_02_v5.1	350619	352677	+	2059	26	20	6	145
Tb2.NT.8	Tb927_02_v5.1	353951	354510	+	560	5	3	2	44
Tb927.2.1920	Tb927_02_v5.1	354591	356826	+	2236	731	447	284	1731
Tb927.2.1931	Tb927_02_v5.1	369957	372207	+	2251	3573	2726	847	5077
Tb927.2.1942	Tb927_02_v5.1	372546	372717	+	172	616	503	113	1020
Tb927.2.1953	Tb927_02_v5.1	373303	375132	+	1830	1770	1324	446	2008
Tb927.2.1964	Tb927_02_v5.1	375328	375542	+	215	136	90	46	165
Tb927.2.1975	Tb927_02_v5.1	375619	377103	+	1485	1549	1192	357	2106
Tb927.2.1986	Tb927_02_v5.1	377241	377423	+	183	49	38	11	56
Tb927.2.1997	Tb927_02_v5.1	377747	377824	+	78	128	86	42	144
Tb927.2.2008	Tb927_02_v5.1	378146	378281	+	136	153	124	29	387
Tb927.2.2015	Tb927_02_v5.1	386515	387059	-	545	312	284	28	3365
Tb927.2.2020	Tb927_02_v5.1	387550	388705	-	1156	152	134	18	1401
Tb927.2.2029	Tb927_02_v5.1	389045	390795	-	1751	464	186	278	669
Tb927.2.2060	Tb927_02_v5.1	393056	394399	-	1344	204	165	39	491
Tb927.2.2070	Tb927_02_v5.1	397335	398424	-	1090	338	304	34	1618
Tb927.2.2090	Tb927_02_v5.1	398551	402324	-	3774	2256	1152	1104	3499
Tb927.2.2120	Tb927_02_v5.1	403883	405837	-	1955	317	248	69	459
Tb927.2.2130	Tb927_02_v5.1	406718	408492	-	1775	487	391	96	1702
Tb927.2.2140	Tb927_02_v5.1	408834	409571	-	738	183	148	35	326
Tb927.2.2160	Tb927_02_v5.1	410840	412901	-	2062	357	339	18	3027
Tb927.2.2180	Tb927_02_v5.1	413434	414656	-	1223	233	173	60	369
Tb927.2.2190	Tb927_02_v5.1	414868	418898	-	4031	380	288	92	1207
Tb927.2.2200	Tb927_02_v5.1	419054	420295	-	1242	339	286	53	3404
Tb927.2.2210	Tb927_02_v5.1	420517	423689	-	3173	1991	1167	824	4984
Tb927.2.2220	Tb927_02_v5.1	424198	425229	-	1032	386	301	85	645
Tb927.2.2230	Tb927_02_v5.1	425387	427131	-	1745	442	386	56	1648
Tb927.2.2240	Tb927_02_v5.1	427699	431815	-	4117	1712	1189	523	2338
Tb927.2.2260	Tb927_02_v5.1	433365	447032	-	13668	4519	3358	1161	9361
Tb927.2.2270	Tb927_02_v5.1	447296	448246	-	951	267	227	40	388
Tb927.2.2320	Tb927_02_v5.1	451021	451856	-	836	8	6	2	12
Tb927.2.2340	Tb927_02_v5.1	452380	456652	-	4273	2041	1476	565	7722
Tb927.2.2360	Tb927_02_v5.1	457061	460283	-	3223	784	602	182	1860
Tb927.2.2370	Tb927_02_v5.1	460464	465255	-	4792	1960	1302	658	7333
Tb927.2.2380	Tb927_02_v5.1	465485	468565	-	3081	938	634	304	2393
Tb927.2.2390	Tb927_02_v5.1	468713	469912	-	1200	660	500	160	849
Tb927.2.2400	Tb927_02_v5.1	471226	473541	-	2316	781	571	210	3739
Tb927.2.2410	Tb927_02_v5.1	473664	475973	-	2310	681	363	318	3226
Tb927.2.2430	Tb927_02_v5.1	476246	479747	-	3502	1478	1146	332	4155
Tb927.2.2440	Tb927_02_v5.1	480317	482378	-	2062	67	59	8	905
Tb927.2.2450	Tb927_02_v5.1	482753	484353	-	1601	1010	797	213	3868
Tb927.2.2460	Tb927_02_v5.1	484516	487095	-	2580	731	580	151	1301
Tb927.2.2470	Tb927_02_v5.1	487442	489761	-	2320	578	449	129	3277
Tb927.2.2490	Tb927_02_v5.1	490811	492015	-	1205	805	665	140	1237
Tb927.2.2500	Tb927_02_v5.1	492151	493687	-	1537	858	620	238	3017
Tb927.2.2510	Tb927_02_v5.1	494285	495137	-	853	161	148	13	711
Tb927.2.2520	Tb927_02_v5.1	495308	496453	-	1146	248	212	36	1319
Tb927.2.2530	Tb927_02_v5.1	497417	500286	-	2870	597	458	139	1261
Tb927.2.2540	Tb927_02_v5.1	500416	501338	-	923	224	139	85	266
Tb927.2.2550	Tb927_02_v5.1	501565	503608	-	2044	777	587	190	2275
Tb927.2.2570	Tb927_02_v5.1	504177	504900	-	724	546	467	79	1749
Tb927.2.2580	Tb927_02_v5.1	506021	510672	-	4652	1920	1427	493	4081
Tb927.2.2590	Tb927_02_v5.1	510809	511483	-	675	163	116	47	183
Tb927.2.2650	Tb927_02_v5.1	519546	530766	+	11221	2891	2088	803	8122
Tb927.2.2670	Tb927_02_v5.1	530972	533083	+	2112	313	253	60	1507
Tb927.2.2720	Tb927_02_v5.1	533217	540087	+	6871	1629	1295	334	4769
Tb927.2.2770	Tb927_02_v5.1	541129	542691	+	1563	28	8	20	29
Tb927.2.2830	Tb927_02_v5.1	546092	548126	+	2035	372	315	57	4832
Tb927.2.2860	Tb927_02_v5.1	548540	549931	+	1392	582	463	119	1195
Tb927.2.2880	Tb927_02_v5.1	550364	553711	+	3348	1015	856	159	6728
Tb927.2.2900	Tb927_02_v5.1	554078	554648	+	571	436	112	324	486
Tb927.2.2910	Tb927_02_v5.1	554814	556637	+	1824	815	525	290	3054
Tb927.2.2920	Tb927_02_v5.1	556458	558328	+	1871	553	291	262	1480
Tb927.2.2940	Tb927_02_v5.1	559564	560692	+	1129	517	377	140	791
Tb927.2.2950	Tb927_02_v5.1	560866	564116	+	3251	1078	879	199	3485
Tb927.2.2970	Tb927_02_v5.1	564271	565248	+	978	409	341	68	667
Tb927.2.2990	Tb927_02_v5.1	567494	569217	+	1724	902	621	281	1717
Tb927.2.3000	Tb927_02_v5.1	569416	570967	+	1552	342	214	128	373
Tb927.2.3020	Tb927_02_v5.1	571123	574339	+	3217	109	81	28	334
Tb927.2.3030	Tb927_02_v5.1	574822	577457	+	2636	1701	1220	481	2803
Tb927.2.3055	Tb927_02_v5.1	578242	578650	+	409	0	0	0	0
Tb927.2.3080	Tb927_02_v5.1	579130	580593	+	1464	1254	818	436	2668
Tb927.2.3090	Tb927_02_v5.1	580873	584142	+	3270	252	210	42	926
Tb927_02_v4.snoRNA.0100	Tb927_02_v5.1	584827	584900	+	74	3	3	0	6
Tb927.2.3160	Tb927_02_v5.1	585537	587270	+	1734	1110	872	238	2065
Tb927.2.3180	Tb927_02_v5.1	587669	590852	+	3184	2648	1728	920	5763
Tb927.2.3190	Tb927_02_v5.1	591003	592956	+	1954	1446	1019	427	2821
Tb927.2.3270	Tb927_02_v5.1	593120	600381	+	7262	2523	1793	730	4281
Tb927.2.3280	Tb927_02_v5.1	601555	602947	+	1393	678	516	162	983
Tb927.2.3290	Tb927_02_v5.1	605101	607469	+	2369	1002	694	308	1605
Tb927.2.3300	Tb927_02_v5.1	608642	609991	+	1350	469	351	118	650
