# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003742.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003742.1.all.q/CM03_E_G1_S4/counts.txt" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_F_plus_R.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_WO.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_F_plus_R.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_WO.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted.bam
Tb927.6.5790	Tb927_06_v5.1	1607470	1608983	-	1514	456	361	95	989
Tb927.6.5800	Tb927_06_v5.1	1610263	1610565	-	303	102	87	15	141
Tb927.6.5810	Tb927_06_v5.1	1610845	1612053	+	1209	6	0	6	6
Tb927.6.5820	Tb927_06_v5.1	1612058	1613172	-	1115	1	1	0	1
Tb927.6.5830	Tb927_06_v5.1	1614636	1616066	-	1431	10	5	5	10
Tb927.3.100	Tb927_03_v5.1	27	1183	+	1157	216	184	32	1002
Tb927.3.110	Tb927_03_v5.1	1251	2402	+	1152	559	465	94	1916
Tb927.3.120	Tb927_03_v5.1	2458	4221	+	1764	955	664	291	1912
Tb927.3.130	Tb927_03_v5.1	5468	5881	+	414	516	392	124	773
Tb927.3.140	Tb927_03_v5.1	6998	8472	+	1475	362	274	88	828
Tb927.3.150	Tb927_03_v5.1	10161	11765	+	1605	335	243	92	615
Tb927.3.160	Tb927_03_v5.1	12861	13874	+	1014	353	299	54	737
Tb927.3.170	Tb927_03_v5.1	14316	15879	+	1564	2	0	2	2
Tb927.3.180	Tb927_03_v5.1	17916	19466	+	1551	1175	831	344	1990
Tb927.3.190	Tb927_03_v5.1	21524	23056	+	1533	803	565	238	1101
Tb927.3.200	Tb927_03_v5.1	23761	24077	+	317	93	81	12	122
Tb927.3.210	Tb927_03_v5.1	24407	32719	+	8313	3471	2463	1008	7858
Tb927.3.220	Tb927_03_v5.1	34487	35713	+	1227	741	450	291	908
Tb927.3.230	Tb927_03_v5.1	37496	38952	+	1457	570	419	151	1577
Tb927.3.240	Tb927_03_v5.1	40291	41801	+	1511	536	440	96	1941
Tb927.3.250	Tb927_03_v5.1	42899	43863	+	965	121	96	25	352
Tb927.3.260	Tb927_03_v5.1	44118	45091	+	974	311	264	47	829
Tb927.3.270	Tb927_03_v5.1	45650	47126	+	1477	335	303	32	435
Tb927.3.280	Tb927_03_v5.1	49532	51098	+	1567	958	778	180	1599
Tb927.3.290	Tb927_03_v5.1	51868	52860	+	993	268	237	31	654
Tb927.3.300	Tb927_03_v5.1	53015	54617	+	1603	634	378	256	882
Tb927.3.310	Tb927_03_v5.1	56056	57631	+	1576	830	642	188	1607
Tb927.3.320	Tb927_03_v5.1	58910	60421	+	1512	969	683	286	1808
Tb927.3.330	Tb927_03_v5.1	62229	63688	+	1460	571	453	118	847
Tb927.3.340	Tb927_03_v5.1	65865	67445	+	1581	317	286	31	433
Tb927.3.350	Tb927_03_v5.1	69280	72546	+	3267	1712	1118	594	3834
Tb927.3.360	Tb927_03_v5.1	72974	74506	+	1533	200	104	96	280
Tb927.3.370	Tb927_03_v5.1	76227	77962	+	1736	94	75	19	113
Tb927.3.380	Tb927_03_v5.1	78807	79421	+	615	25	12	13	27
Tb927.3.390	Tb927_03_v5.1	80676	82214	+	1539	413	352	61	1186
Tb927.3.400	Tb927_03_v5.1	84061	85595	+	1535	491	407	84	1246
Tb927.3.410	Tb927_03_v5.1	87860	89384	+	1525	351	318	33	728
Tb927.3.420	Tb927_03_v5.1	90838	92413	+	1576	398	382	16	2843
Tb927.3.430	Tb927_03_v5.1	94159	94786	+	628	259	176	83	294
Tb927.3.440	Tb927_03_v5.1	95058	96632	+	1575	1063	762	301	3503
Tb927.3.450	Tb927_03_v5.1	97480	98052	+	573	281	248	33	544
Tb927.3.460	Tb927_03_v5.1	98736	99841	+	1106	681	536	145	1720
Tb927.3.470	Tb927_03_v5.1	99974	101521	+	1548	824	546	278	4146
Tb927.3.480	Tb927_03_v5.1	102535	104152	+	1618	552	460	92	1270
Tb927.3.490	Tb927_03_v5.1	105461	106990	+	1530	493	314	179	538
Tb927.3.500	Tb927_03_v5.1	108301	111728	+	3428	427	291	136	2343
Tb927.3.510	Tb927_03_v5.1	111962	115422	+	3461	2108	1546	562	3138
Tb927.3.520	Tb927_03_v5.1	116511	117514	-	1004	393	340	53	1998
Tb927.3.530	Tb927_03_v5.1	117548	118584	-	1037	529	438	91	1421
Tb927.3.540	Tb927_03_v5.1	118749	118928	-	180	35	29	6	35
Tb927.3.550	Tb927_03_v5.1	119582	120565	-	984	469	283	186	620
Tb927.3.560	Tb927_03_v5.1	120686	121796	-	1111	207	151	56	350
Tb927.3.570	Tb927_03_v5.1	121971	126087	-	4117	1919	1337	582	3327
Tb927.3.580	Tb927_03_v5.1;Tb927_03_v5.1	126588;126588	128725;132470	-;-	5883	7760	5326	2434	17761
Tb927.3.585	Tb927_03_v5.1	132747	133153	-	407	749	410	339	1294
Tb927.3.590	Tb927_03_v5.1	147064	148503	+	1440	267	234	33	2533
Tb927.3.600	Tb927_03_v5.1	149271	153240	-	3970	2213	1705	508	5736
Tb927.3.610	Tb927_03_v5.1	156134	156719	-	586	252	240	12	1084
Tb927.3.620	Tb927_03_v5.1	156847	159552	-	2706	1534	1140	394	3392
Tb927.3.630	Tb927_03_v5.1	159729	160235	-	507	322	264	58	2197
Tb927.3.640	Tb927_03_v5.1	160377	161414	-	1038	799	495	304	918
Tb927.3.650	Tb927_03_v5.1	161532	162003	-	472	120	99	21	178
Tb927.3.660	Tb927_03_v5.1	162237	163455	-	1219	264	227	37	555
Tb927.3.670	Tb927_03_v5.1	163700	165162	-	1463	212	111	101	226
Tb927.3.680	Tb927_03_v5.1	165709	168444	-	2736	594	480	114	1085
Tb927.3.690	Tb927_03_v5.1	168318	171009	-	2692	184	162	22	1380
Tb927.3.700	Tb927_03_v5.1	171635	171971	-	337	30	27	3	33
Tb927.3.710	Tb927_03_v5.1	172235	175339	-	3105	974	829	145	1808
Tb927.3.720	Tb927_03_v5.1	176506	177482	-	977	636	507	129	1373
Tb927.3.730	Tb927_03_v5.1	177312	179131	-	1820	1188	840	348	2317
Tb927.3.740	Tb927_03_v5.1	180970	182057	-	1088	76	62	14	1059
Tb927.3.750	Tb927_03_v5.1	181871	183449	-	1579	557	447	110	1029
Tb927.3.760	Tb927_03_v5.1	183811	185490	-	1680	1339	1035	304	3897
Tb927.3.770	Tb927_03_v5.1	185626	186488	-	863	254	208	46	478
Tb927.3.780	Tb927_03_v5.1	187245	188055	-	811	228	176	52	318
Tb927.3.790	Tb927_03_v5.1	188200	189339	-	1140	448	332	116	1566
Tb927.3.800	Tb927_03_v5.1	189558	191349	-	1792	536	354	182	1766
Tb927.3.810	Tb927_03_v5.1	191584	192679	-	1096	634	338	296	815
Tb927.3.820	Tb927_03_v5.1	192821	193468	-	648	382	280	102	467
Tb927.3.830	Tb927_03_v5.1	193729	194942	-	1214	894	781	113	1702
Tb927.3.840	Tb927_03_v5.1	195057	196587	-	1531	1026	869	157	1765
Tb927.3.850	Tb927_03_v5.1	198108	201065	-	2958	1864	1086	778	4830
Tb927.3.860	Tb927_03_v5.1	201175	201908	-	734	153	104	49	170
Tb927.3.870	Tb927_03_v5.1	206155	207529	+	1375	259	187	72	419
Tb927.3.880	Tb927_03_v5.1	207804	208563	+	760	401	325	76	1156
Tb927.3.890	Tb927_03_v5.1	208766	209708	+	943	852	454	398	1703
Tb927.3.900	Tb927_03_v5.1	209858	211025	+	1168	196	99	97	692
Tb927.3.910	Tb927_03_v5.1	211151	212683	+	1533	1325	1199	126	3027
Tb927.3.920	Tb927_03_v5.1	213261	216961	+	3701	3693	2499	1194	8904
Tb927.3.930	Tb927_03_v5.1	217061	232068	+	15008	284	270	14	1534
Tb927.3.940	Tb927_03_v5.1	231840	232851	+	1012	935	748	187	1179
Tb927.3.945	Tb927_03_v5.1	232991	234492	+	1502	684	561	123	1575
Tb927.3.950	Tb927_03_v5.1	234877	237757	+	2881	4706	2377	2329	10297
Tb927.3.960	Tb927_03_v5.1	237656	238496	+	841	340	308	32	882
Tb927.3.970	Tb927_03_v5.1	238813	240226	+	1414	375	305	70	496
Tb927.3.980	Tb927_03_v5.1	240358	242646	+	2289	1042	685	357	14454
Tb927.3.990	Tb927_03_v5.1	243207	245316	+	2110	2196	1750	446	4729
Tb927.3.1000	Tb927_03_v5.1	245482	246148	+	667	387	356	31	937
Tb927.3.1010	Tb927_03_v5.1	246717	249385	+	2669	922	776	146	6018
Tb927.3.1020	Tb927_03_v5.1	250863	252492	+	1630	2	0	2	2
Tb927.3.1030	Tb927_03_v5.1	253111	254890	+	1780	592	443	149	1027
Tb927.3.1060	Tb927_03_v5.1	259855	263532	+	3678	1742	1295	447	3372
Tb927.3.1050	Tb927_03_v5.1	261163	262371	+	1209	0	0	0	0
Tb927.3.1070	Tb927_03_v5.1	263815	265161	+	1347	943	639	304	2775
Tb927.3.1080	Tb927_03_v5.1	265291	266383	+	1093	2533	1571	962	5577
Tb927.3.1085	Tb927_03_v5.1	266523	267203	+	681	171	139	32	209
Tb927.3.1090	Tb927_03_v5.1	267363	268841	+	1479	1224	760	464	2450
Tb927.3.1100	Tb927_03_v5.1	268941	270153	+	1213	435	347	88	665
Tb927.3.1110	Tb927_03_v5.1	270600	273554	+	2955	388	300	88	1186
Tb927.3.1120	Tb927_03_v5.1	273335	274386	+	1052	0	0	0	0
Tb927.3.1130	Tb927_03_v5.1	275749	277813	+	2065	292	249	43	1515
Tb927.3.1140	Tb927_03_v5.1	278070	279804	+	1735	1050	810	240	1841
Tb927.3.1150	Tb927_03_v5.1	279969	280820	+	852	628	457	171	1436
Tb927.3.1160	Tb927_03_v5.1	281187	282109	+	923	240	172	68	343
Tb927.3.1170	Tb927_03_v5.1	282350	283598	+	1249	799	563	236	4376
Tb927.3.1180	Tb927_03_v5.1	284386	287722	+	3337	1396	726	670	1745
Tb927.3.1190	Tb927_03_v5.1	287854	295302	+	7449	2622	1880	742	4777
Tb927.3.1200	Tb927_03_v5.1;Tb927_03_v5.1	295449;296864	299602;299602	+;+	4154	3311	2472	839	7620
Tb927.3.1210	Tb927_03_v5.1	299844	303697	+	3854	1470	895	575	3276
Tb927.3.1220	Tb927_03_v5.1	304021	306138	+	2118	155	117	38	776
Tb927.3.1230	Tb927_03_v5.1	306258	309165	+	2908	4282	2349	1933	6915
Tb927.3.1240	Tb927_03_v5.1	309393	310453	+	1061	19	11	8	82
Tb927.3.1250	Tb927_03_v5.1	311302	312114	+	813	194	143	51	847
Tb927.3.1260	Tb927_03_v5.1	312251	312852	+	602	177	157	20	250
Tb927.3.1270	Tb927_03_v5.1	313144	315082	+	1939	969	694	275	2672
Tb927.3.1280	Tb927_03_v5.1	315192	316662	+	1471	743	609	134	1850
Tb927.3.1290	Tb927_03_v5.1	317030	320311	+	3282	796	659	137	3068
Tb927.3.1300	Tb927_03_v5.1	320460	323088	+	2629	2155	1598	557	4997
Tb927.3.1310	Tb927_03_v5.1;Tb927_03_v5.1	323216;323467	327123;327123	+;+	3908	2726	1732	994	5023
Tb927.3.1320	Tb927_03_v5.1	327406	330879	+	3474	2302	1809	493	3417
Tb927.3.1330	Tb927_03_v5.1	331236	335738	+	4503	1754	1368	386	7428
Tb927.3.1340	Tb927_03_v5.1	335897	337895	+	1999	1609	1092	517	2572
Tb927.3.1350	Tb927_03_v5.1	338139	341161	+	3023	691	571	120	1343
Tb927.3.1360	Tb927_03_v5.1	341304	343335	+	2032	462	239	223	803
Tb927.3.1370	Tb927_03_v5.1	343599	344181	+	583	160	140	20	270
Tb927.3.1380	Tb927_03_v5.1	344355	347117	+	2763	765	698	67	4129
Tb927.3.1390	Tb927_03_v5.1	347223	349483	+	2261	1097	747	350	1977
Tb927.3.1400	Tb927_03_v5.1	349867	351680	+	1814	2251	1220	1031	4762
Tb927.3.1410	Tb927_03_v5.1	352754	353633	+	880	372	243	129	463
Tb927.3.1420	Tb927_03_v5.1	353744	364947	+	11204	6565	4500	2065	14677
Tb927.3.1430	Tb927_03_v5.1	365058	366736	+	1679	769	344	425	3919
Tb927.3.1440	Tb927_03_v5.1	366880	369911	+	3032	2108	1512	596	6246
Tb927.3.1450	Tb927_03_v5.1	370027	371329	+	1303	1185	867	318	6998
Tb927.3.1460	Tb927_03_v5.1	372935	373981	+	1047	582	430	152	3271
Tb927.3.1470	Tb927_03_v5.1	374515	375629	+	1115	1188	940	248	3377
Tb927.3.1480	Tb927_03_v5.1	379382	380307	+	926	596	465	131	806
Tb927.3.1490	Tb927_03_v5.1	381448	387810	+	6363	2838	2430	408	9556
Tb927.3.1500	Tb927_03_v5.1	388094	389227	-	1134	691	583	108	1518
Tb927.3.1510	Tb927_03_v5.1	393867	395296	-	1430	559	456	103	1439
Tb927.3.1520	Tb927_03_v5.1	396343	397457	-	1115	1036	900	136	3166
Tb927.3.1525	Tb927_03_v5.1	398622	399045	-	424	103	78	25	1969
Tb927.3.1530	Tb927_03_v5.1	399670	401365	-	1696	1364	1107	257	3647
Tb927.3.1540	Tb927_03_v5.1	401481	403335	-	1855	510	383	127	1221
Tb927.3.1550	Tb927_03_v5.1	402771	407043	-	4273	1454	1006	448	4034
Tb927.3.1560	Tb927_03_v5.1	407164	409440	-	2277	730	615	115	1495
Tb927.3.1570	Tb927_03_v5.1	409345	412681	-	3337	2703	1951	752	15379
Tb927.3.1580	Tb927_03_v5.1	412885	414608	-	1724	941	805	136	4173
Tb927.3.1590	Tb927_03_v5.1	415240	417301	-	2062	1480	1157	323	6240
Tb927.3.1600	Tb927_03_v5.1	417775	418332	-	558	271	216	55	1275
Tb927.3.1610	Tb927_03_v5.1	419800	422046	-	2247	1139	988	151	4437
Tb927.3.1620	Tb927_03_v5.1	423166	428105	-	4940	3252	2197	1055	6196
Tb927.3.1630	Tb927_03_v5.1	428454	433034	-	4581	1182	933	249	2354
Tb927.3.1640	Tb927_03_v5.1	434405	434896	-	492	16	6	10	18
Tb927.3.1650	Tb927_03_v5.1	435507	436034	-	528	123	102	21	194
Tb927.3.1660	Tb927_03_v5.1	436051	438731	-	2681	1787	1419	368	8580
Tb927.3.1670	Tb927_03_v5.1	439329	442671	-	3343	2161	1663	498	3986
Tb927.3.1680	Tb927_03_v5.1	442967	444658	-	1692	321	211	110	1438
Tb927.3.1690	Tb927_03_v5.1	445257	446001	-	745	199	132	67	824
Tb927.3.1700	Tb927_03_v5.1	446049	448336	-	2288	706	592	114	2036
Tb927.3.1710	Tb927_03_v5.1	448615	449807	-	1193	897	704	193	4247
Tb927.3.1720	Tb927_03_v5.1	450752	451873	-	1122	8	5	3	25
Tb927.3.1730	Tb927_03_v5.1	451668	453139	-	1472	1733	1183	550	3810
Tb927.3.1740	Tb927_03_v5.1	453791	456014	-	2224	75	62	13	106
Tb927.3.1750	Tb927_03_v5.1	456208	457114	-	907	1261	837	424	2144
Tb927.3.1760	Tb927_03_v5.1	457291	458329	-	1039	922	784	138	1174
Tb927.3.1770	Tb927_03_v5.1	458765	461733	-	2969	1076	794	282	2688
Tb927.3.1780	Tb927_03_v5.1	461872	462669	-	798	163	128	35	242
Tb927.3.1790	Tb927_03_v5.1	462844	465285	-	2442	703	464	239	3488
Tb927.3.1800	Tb927_03_v5.1	465205	470148	-	4944	1264	752	512	4140
Tb927.3.1810	Tb927_03_v5.1	470285	471813	-	1529	557	362	195	738
Tb927.3.1820	Tb927_03_v5.1	471969	474256	-	2288	2398	1399	999	3900
Tb927.3.1830	Tb927_03_v5.1	474527	476028	-	1502	103	62	41	117
Tb927.3.1840	Tb927_03_v5.1	477766	479137	-	1372	371	274	97	438
Tb927.3.1850	Tb927_03_v5.1	480261	482206	-	1946	797	682	115	1073
Tb927.3.1860	Tb927_03_v5.1	483401	486261	-	2861	3434	2188	1246	23228
Tb927.3.1870	Tb927_03_v5.1;Tb927_03_v5.1	486395;486395	487951;488138	-;-	1744	513	389	124	1667
Tb927.3.1880	Tb927_03_v5.1	488289	490601	-	2313	727	433	294	1160
Tb927.3.1890	Tb927_03_v5.1	490837	492278	-	1442	773	634	139	1033
Tb927.3.1900	Tb927_03_v5.1	493734	496337	-	2604	1130	650	480	2869
Tb927.3.1891	Tb927_03_v5.1	494224	494301	-	78	0	0	0	0
Tb927.3.1892	Tb927_03_v5.1	494356	494433	-	78	0	0	0	0
Tb927.3.1893	Tb927_03_v5.1	494488	494539	-	52	0	0	0	0
Tb927.3.1894	Tb927_03_v5.1	494596	494673	-	78	0	0	0	0
Tb927.3.1895	Tb927_03_v5.1	494728	494805	-	78	0	0	0	0
Tb927.3.1896	Tb927_03_v5.1	494860	494965	-	106	0	0	0	0
Tb927.3.1905	Tb927_03_v5.1	495034	495139	-	106	0	0	0	0
Tb927.3.1910	Tb927_03_v5.1	497029	503599	-	6571	2264	1703	561	6438
Tb3.NT.21	Tb927_03_v5.1	503720	504365	-	646	118	94	24	543
Tb927.3.1920	Tb927_03_v5.1	505033	507794	-	2762	1606	1110	496	3246
Tb927.3.1930	Tb927_03_v5.1	508299	509783	-	1485	1569	1089	480	2687
Tb927.3.1940	Tb927_03_v5.1	510641	511970	-	1330	502	382	120	1941
Tb927.3.1955	Tb927_03_v5.1	513487	514034	-	548	93	72	21	512
Tb927.3.1960	Tb927_03_v5.1	514271	515762	-	1492	1080	788	292	1631
Tb927.3.1970	Tb927_03_v5.1	516166	517317	-	1152	792	589	203	1394
Tb927.3.1980	Tb927_03_v5.1	517473	518492	-	1020	648	524	124	981
Tb927.3.1990	Tb927_03_v5.1	518617	520892	-	2276	1005	929	76	10358
Tb927.3.2000	Tb927_03_v5.1	521498	522203	-	706	573	370	203	1876
Tb927.3.2010	Tb927_03_v5.1	522343	524255	-	1913	1018	906	112	2953
Tb927.3.2020	Tb927_03_v5.1	524836	527296	-	2461	1401	1015	386	2064
Tb927.3.2030	Tb927_03_v5.1;Tb927_03_v5.1	527456;527456	528163;528219	-;-	764	701	589	112	1048
Tb927.3.2040	Tb927_03_v5.1	528394	532752	-	4359	1741	1259	482	4480
Tb927.3.2050	Tb927_03_v5.1	534065	539224	-	5160	2781	2328	453	8702
Tb927.3.2060	Tb927_03_v5.1	539717	542646	-	2930	794	605	189	1567
Tb927.3.2070	Tb927_03_v5.1	542793	547521	-	4729	907	733	174	2228
Tb927.3.2080	Tb927_03_v5.1	548257	549166	-	910	1192	806	386	2465
Tb927.3.2090	Tb927_03_v5.1	549317	551930	-	2614	554	340	214	622
Tb927.3.2100	Tb927_03_v5.1	552061	554173	-	2113	597	543	54	1980
Tb927.3.2110	Tb927_03_v5.1	556358	557917	-	1560	458	357	101	1839
Tb927.3.2120	Tb927_03_v5.1	558218	560058	-	1841	1256	869	387	3445
Tb927.3.2130	Tb927_03_v5.1	560389	562683	-	2295	533	516	17	2734
Tb927.3.2140	Tb927_03_v5.1	563309	566371	-	3063	1250	955	295	2268
Tb927.3.2150	Tb927_03_v5.1	566516	567960	-	1445	582	550	32	3847
Tb927.3.2160	Tb927_03_v5.1	568114	569864	-	1751	1026	446	580	1615
Tb927.3.2170	Tb927_03_v5.1	570057	572987	-	2931	2185	1601	584	6189
Tb927.3.2180	Tb927_03_v5.1	573104	574120	-	1017	716	563	153	1521
Tb927.3.2190	Tb927_03_v5.1	574254	575227	-	974	420	360	60	614
Tb927.3.2200	Tb927_03_v5.1	575334	576611	-	1278	937	822	115	5056
Tb927.3.2210	Tb927_03_v5.1	576772	579140	-	2369	1463	1058	405	6056
Tb927.3.2220	Tb927_03_v5.1	579399	580100	-	702	1353	789	564	2871
Tb927.3.2230	Tb927_03_v5.1	580289	581871	-	1583	455	317	138	614
Tb927.3.2240	Tb927_03_v5.1	582246	583460	-	1215	314	260	54	394
Tb927.3.2250	Tb927_03_v5.1	583537	584518	-	982	288	260	28	1407
Tb927.3.2260	Tb927_03_v5.1	584662	585419	-	758	384	250	134	441
Tb927.3.2270	Tb927_03_v5.1	587853	589227	+	1375	1733	460	1273	2110
Tb927.3.2280	Tb927_03_v5.1	589430	591236	+	1807	691	576	115	2529
Tb927.3.2290	Tb927_03_v5.1	591399	592520	+	1122	646	412	234	1686
Tb927.3.2300	Tb927_03_v5.1	592641	593317	+	677	118	72	46	141
Tb927.3.2310	Tb927_03_v5.1	593403	594691	+	1289	92	66	26	101
Tb927.3.2320	Tb927_03_v5.1	594894	597350	+	2457	1268	963	305	3673
Tb927.3.2330	Tb927_03_v5.1	596450	599660	+	3211	2573	1845	728	4004
Tb927.3.2340	Tb927_03_v5.1	599796	600844	+	1049	472	350	122	660
Tb927.3.2350	Tb927_03_v5.1	601303	601909	+	607	407	251	156	452
Tb927.3.2360	Tb927_03_v5.1	602053	603548	+	1496	1446	1049	397	3701
Tb927.3.2370	Tb927_03_v5.1	603846	604470	+	625	361	319	42	555
Tb927.3.2380	Tb927_03_v5.1	604751	605127	+	377	534	421	113	1051
Tb927.3.2390	Tb927_03_v5.1	605441	606956	+	1516	1266	815	451	4516
Tb927.3.2400	Tb927_03_v5.1	607231	608488	+	1258	428	349	79	1193
Tb927.3.2410	Tb927_03_v5.1	608640	609693	+	1054	863	591	272	1223
Tb927.3.2420	Tb927_03_v5.1	610034	610492	+	459	54	22	32	63
Tb927.3.2430	Tb927_03_v5.1	610796	614054	+	3259	1721	1278	443	4895
Tb927.3.2440	Tb927_03_v5.1	614177	615758	+	1582	777	616	161	3293
Tb927.3.2450	Tb927_03_v5.1	616321	617490	+	1170	256	221	35	777
Tb927.3.2460	Tb927_03_v5.1	617728	619316	+	1589	1280	961	319	9255
Tb927.3.2470	Tb927_03_v5.1	619537	622242	+	2706	716	633	83	1938
Tb927.3.2475	Tb927_03_v5.1	622107	623480	+	1374	480	440	40	950
Tb927.3.2477	Tb927_03_v5.1	623714	625006	+	1293	157	97	60	208
Tb927.3.2480	Tb927_03_v5.1	625117	626269	+	1153	107	100	7	959
Tb927.3.2490	Tb927_03_v5.1	626390	629765	+	3376	2033	1582	451	7051
Tb927.3.2500	Tb927_03_v5.1	629822	632433	-	2612	2783	2134	649	5165
Tb927.3.2510	Tb927_03_v5.1;Tb927_03_v5.1	632832;632832	633916;634215	-;-	1384	1530	1118	412	2826
Tb927.3.2520	Tb927_03_v5.1	635419	636395	-	977	11	7	4	11
Tb927.3.2530	Tb927_03_v5.1	636520	637494	-	975	217	136	81	2955
Tb927.3.2540	Tb927_03_v5.1;Tb927_03_v5.1	637733;637733	638852;640294	-;-	2562	1474	727	747	3292
Tb927.3.2550	Tb927_03_v5.1	639421	641589	-	2169	753	597	156	2158
Tb927.3.2560	Tb927_03_v5.1	642421	643103	-	683	158	139	19	314
Tb927.3.2570	Tb927_03_v5.1	643935	644836	-	902	551	490	61	1217
Tb927.3.2580	Tb927_03_v5.1	645449	646133	-	685	108	70	38	215
Tb927.3.2590	Tb927_03_v5.1	647032	651938	-	4907	4130	3206	924	8520
Tb927.3.2600	Tb927_03_v5.1	652232	659249	-	7018	4222	3412	810	8639
Tb927.3.2610	Tb927_03_v5.1	659361	662313	-	2953	3574	2380	1194	6027
Tb927.3.2620	Tb927_03_v5.1;Tb927_03_v5.1	662470;662470	668733;669988	-;-	7519	3234	2351	883	6326
Tb927.3.2630	Tb927_03_v5.1	669277	672597	-	3321	2351	1506	845	6674
Tb927.3.2640	Tb927_03_v5.1	673016	674173	-	1158	1243	714	529	2276
Tb927.3.2650	Tb927_03_v5.1	674328	674967	-	640	965	861	104	12625
Tb927.3.2660	Tb927_03_v5.1	675093	677416	-	2324	1534	1258	276	6465
Tb927.3.2670	Tb927_03_v5.1	677574	678718	-	1145	559	410	149	2330
Tb927.3.2680	Tb927_03_v5.1	678839	680865	-	2027	592	497	95	2610
Tb927.3.2690	Tb927_03_v5.1	682253	686686	-	4434	3320	2526	794	5822
Tb927.3.2700	Tb927_03_v5.1	687015	688420	-	1406	1070	488	582	1433
Tb927.3.2710	Tb927_03_v5.1	688583	693116	-	4534	2246	1643	603	6375
Tb927.3.2720	Tb927_03_v5.1	693525	695303	-	1779	1405	921	484	2839
Tb927.3.2730	Tb927_03_v5.1	695723	701068	-	5346	4031	3356	675	12326
Tb927.3.2740	Tb927_03_v5.1	701310	702850	-	1541	186	133	53	388
Tb927.3.2750	Tb927_03_v5.1	702954	706131	-	3178	1011	776	235	2565
Tb927.3.2760	Tb927_03_v5.1	706555	711329	-	4775	958	744	214	1452
Tb927.3.2770	Tb927_03_v5.1;Tb927_03_v5.1	711457;711457	715336;715363	-;-	3907	2047	1375	672	5306
Tb927.3.2780	Tb927_03_v5.1	716118	719483	-	3366	2172	1800	372	8186
Tb927.3.2790	Tb927_03_v5.1	720110	723646	-	3537	1972	1690	282	9762
Tb927.3.2800	Tb927_03_v5.1	724157	726207	-	2051	934	821	113	2092
Tb927.3.2810	Tb927_03_v5.1	726539	731670	-	5132	2594	1959	635	7959
Tb927.3.2820	Tb927_03_v5.1	731793	733873	-	2081	653	523	130	1770
Tb927.3.2830	Tb927_03_v5.1	734301	735634	-	1334	173	134	39	652
Tb927.3.2840	Tb927_03_v5.1	735570	736861	-	1292	661	511	150	776
Tb927.3.2850	Tb927_03_v5.1	737199	737818	-	620	911	553	358	2982
Tb927.3.2860	Tb927_03_v5.1	738680	739591	-	912	205	169	36	232
Tb927.3.2870	Tb927_03_v5.1	739808	742549	-	2742	2615	1936	679	5666
Tb927.3.2880	Tb927_03_v5.1	742652	743803	-	1152	560	293	267	968
Tb927.3.2890	Tb927_03_v5.1	744287	745481	-	1195	473	371	102	1529
Tb927.3.2900	Tb927_03_v5.1	746517	748191	-	1675	252	232	20	2200
Tb927.3.2910	Tb927_03_v5.1	749404	749959	-	556	619	477	142	1233
Tb927.3.2920	Tb927_03_v5.1	750359	751943	-	1585	827	704	123	2084
Tb927.3.2930	Tb927_03_v5.1	752088	757611	-	5524	1358	1159	199	3182
Tb927.3.2940	Tb927_03_v5.1	758043	759665	-	1623	1986	1864	122	7494
Tb927.3.2950	Tb927_03_v5.1	759963	762893	-	2931	866	624	242	1908
Tb927.3.2960	Tb927_03_v5.1	763029	764745	-	1717	1025	701	324	1438
Tb927.3.2970	Tb927_03_v5.1	764902	765733	-	832	211	195	16	277
Tb927.3.2980	Tb927_03_v5.1	766071	767369	-	1299	712	515	197	968
Tb927.3.2990	Tb927_03_v5.1	767566	768485	-	920	229	191	38	357
Tb927.3.3000	Tb927_03_v5.1	769018	771460	-	2443	498	436	62	854
Tb927.3.3010	Tb927_03_v5.1	771611	772205	-	595	693	474	219	1128
Tb927.3.3020	Tb927_03_v5.1	772495	773519	-	1025	318	249	69	763
Tb927.3.3030	Tb927_03_v5.1	774516	775881	-	1366	285	247	38	854
Tb927.3.3040	Tb927_03_v5.1	776681	778415	-	1735	1487	1300	187	3107
Tb927.3.3050	Tb927_03_v5.1	778577	781798	-	3222	1742	1570	172	9920
Tb927.3.3060	Tb927_03_v5.1	784857	785818	-	962	787	593	194	1758
Tb927.3.3070	Tb927_03_v5.1	787225	790021	-	2797	1430	1122	308	4400
Tb927.3.3080	Tb927_03_v5.1	790168	792153	-	1986	989	501	488	2510
Tb927.3.3090	Tb927_03_v5.1	792279	795364	-	3086	1137	899	238	3084
