# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003738.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/counts.txt" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam
Tb927.3.3740	Tb927_03_v5.1	1044045	1047503	+	3459	3110	2328	782	6597
Tb927.3.3750	Tb927_03_v5.1	1047416	1048145	+	730	108	86	22	926
Tb927.3.3760	Tb927_03_v5.1	1050397	1050898	+	502	387	360	27	1037
Tb927.3.3770	Tb927_03_v5.1	1051496	1053378	+	1883	904	620	284	1839
Tb927.3.3780	Tb927_03_v5.1	1053516	1054471	+	956	323	299	24	916
Tb927.3.3790	Tb927_03_v5.1	1054615	1055847	+	1233	408	342	66	823
Tb927.3.3800	Tb927_03_v5.1;Tb927_03_v5.1	1055982;1056047	1059074;1059074	+;+	3093	3116	2054	1062	12387
Tb927.3.3810	Tb927_03_v5.1	1059287	1060571	+	1285	188	173	15	560
Tb927.3.3820	Tb927_03_v5.1	1061167	1062587	+	1421	358	208	150	8901
Tb927.3.3830	Tb927_03_v5.1	1063424	1064870	+	1447	1224	928	296	2071
Tb927.3.3840	Tb927_03_v5.1	1065041	1066255	+	1215	341	281	60	376
Tb927.3.3850	Tb927_03_v5.1	1066388	1070719	+	4332	3351	2445	906	14874
Tb927.3.3860	Tb927_03_v5.1	1071418	1075572	+	4155	1821	1448	373	4668
Tb927.3.3870	Tb927_03_v5.1	1075942	1079769	+	3828	1252	1067	185	5954
Tb927.3.3880	Tb927_03_v5.1	1080706	1081663	+	958	271	232	39	681
Tb927.3.3890	Tb927_03_v5.1	1081904	1082956	+	1053	621	450	171	1188
Tb927.3.3900	Tb927_03_v5.1	1083950	1085884	+	1935	1185	1019	166	3485
Tb927.3.3910	Tb927_03_v5.1	1088042	1089199	+	1158	320	232	88	362
Tb927.3.3920	Tb927_03_v5.1	1089611	1091821	+	2211	525	417	108	1185
Tb927.3.3930	Tb927_03_v5.1	1091925	1096021	+	4097	1091	881	210	2431
Tb927.3.3940	Tb927_03_v5.1	1096380	1107530	+	11151	1786	1317	469	5280
Tb927.3.3950	Tb927_03_v5.1	1107175	1109585	+	2411	399	192	207	694
Tb927.3.3960	Tb927_03_v5.1	1110200	1113671	+	3472	429	349	80	1594
Tb927.3.3970	Tb927_03_v5.1	1113957	1115248	+	1292	616	467	149	1244
Tb927.3.3980	Tb927_03_v5.1	1116504	1118163	+	1660	632	544	88	1802
Tb927.3.3990	Tb927_03_v5.1	1119170	1120510	+	1341	678	506	172	1173
Tb927.3.4000	Tb927_03_v5.1	1121011	1121645	+	635	129	66	63	234
Tb927.3.4005	Tb927_03_v5.1	1123626	1123844	+	219	197	164	33	511
Tb927.3.4010	Tb927_03_v5.1	1124707	1126831	-	2125	434	309	125	938
Tb927.3.4020	Tb927_03_v5.1	1127210	1134341	-	7132	3734	2953	781	9382
Tb927.3.4030	Tb927_03_v5.1	1135385	1139035	-	3651	1480	1163	317	2352
Tb927.3.4040	Tb927_03_v5.1	1139215	1142352	-	3138	1756	1375	381	6448
Tb927.3.4050	Tb927_03_v5.1	1142546	1143211	-	666	642	545	97	1647
Tb927.3.4060	Tb927_03_v5.1	1143388	1147796	-	4409	2180	1568	612	4476
Tb927.3.4070	Tb927_03_v5.1	1147941	1150117	-	2177	877	808	69	2710
Tb927.3.4080	Tb927_03_v5.1	1150361	1152378	-	2018	850	692	158	1784
Tb927.3.4090	Tb927_03_v5.1	1152523	1154714	-	2192	1396	1226	170	4372
Tb927.3.4100	Tb927_03_v5.1	1154859	1157033	-	2175	1038	789	249	1654
Tb927.3.4110	Tb927_03_v5.1	1157178	1159419	-	2242	630	544	86	2205
Tb927.3.4120	Tb927_03_v5.1	1160791	1162845	-	2055	1617	1240	377	4185
Tb927.3.4130	Tb927_03_v5.1	1163095	1164175	-	1081	877	746	131	1517
Tb927.3.4140	Tb927_03_v5.1	1164343	1166113	-	1771	637	482	155	1055
Tb927.3.4150	Tb927_03_v5.1	1167017	1168422	-	1406	713	493	220	1346
Tb927.3.4160	Tb927_03_v5.1	1169750	1171171	-	1422	1515	1193	322	2927
Tb927.3.4170	Tb927_03_v5.1	1171342	1172125	-	784	268	211	57	576
Tb927.3.4180	Tb927_03_v5.1	1173210	1174771	-	1562	1223	1014	209	3186
Tb927.3.4190	Tb927_03_v5.1	1176215	1178210	-	1996	687	599	88	1367
Tb927.3.4200	Tb927_03_v5.1	1178327	1179642	-	1316	328	219	109	782
Tb927.3.4210	Tb927_03_v5.1	1179578	1185224	-	5647	1885	1591	294	4282
Tb927.3.4220	Tb927_03_v5.1	1185640	1189068	-	3429	1240	903	337	29700
Tb927.3.4230	Tb927_03_v5.1	1190317	1194927	-	4611	2031	1405	626	2623
Tb927.3.4240	Tb927_03_v5.1	1195175	1195833	-	659	217	157	60	282
Tb927.3.4250	Tb927_03_v5.1	1195959	1197732	-	1774	140	132	8	544
Tb927.3.4260	Tb927_03_v5.1	1197849	1200217	-	2369	914	651	263	2629
Tb927.3.4270	Tb927_03_v5.1	1202789	1205668	-	2880	783	611	172	2661
Tb927.3.4280	Tb927_03_v5.1	1205814	1208549	-	2736	1965	1490	475	4098
Tb927.3.4290	Tb927_03_v5.1	1208659	1210764	-	2106	10	7	3	81
Tb927.3.4300	Tb927_03_v5.1	1210898	1212927	-	2030	15	2	13	15
Tb927.3.4310	Tb927_03_v5.1	1213061	1215090	-	2030	18	1	17	18
Tb927.3.4320	Tb927_03_v5.1	1215224	1217253	-	2030	14	1	13	14
Tb927.3.4330	Tb927_03_v5.1	1217387	1219341	-	1955	12	1	11	12
Tb927.3.4340	Tb927_03_v5.1	1219486	1220572	-	1087	785	623	162	3275
Tb927.3.4350	Tb927_03_v5.1	1220808	1223242	-	2435	949	595	354	2837
Tb927.3.4360	Tb927_03_v5.1	1223335	1223860	-	526	28	22	6	122
Tb927.3.4370	Tb927_03_v5.1	1224042	1225746	-	1705	416	353	63	481
Tb927.3.4380	Tb927_03_v5.1	1225916	1227511	-	1596	1259	880	379	1753
Tb927.3.4390	Tb927_03_v5.1	1227814	1229349	-	1536	631	433	198	4221
Tb927.3.4393	Tb927_03_v5.1	1233524	1233604	+	81	73	61	12	297
Tb927.3.4396	Tb927_03_v5.1	1233810	1233891	-	82	78	65	13	105
Tb927.3.4399	Tb927_03_v5.1	1233951	1234031	-	81	85	32	53	91
Tb927.3.4400	Tb927_03_v5.1	1239476	1240592	-	1117	1191	1025	166	3265
Tb927.3.4410	Tb927_03_v5.1	1240791	1241549	-	759	342	275	67	1101
Tb927.3.4420	Tb927_03_v5.1	1241845	1243238	-	1394	1219	689	530	4549
Tb927.3.4430	Tb927_03_v5.1	1243455	1245315	-	1861	1793	1242	551	5064
Tb927.3.4440	Tb927_03_v5.1	1245769	1247011	-	1243	449	364	85	565
Tb927.3.4450	Tb927_03_v5.1	1247046	1248640	-	1595	355	284	71	1188
Tb927.3.4460	Tb927_03_v5.1	1248752	1250049	-	1298	99	38	61	522
Tb927.3.4470	Tb927_03_v5.1	1250893	1252761	-	1869	1827	1357	470	3217
Tb927.3.4480	Tb927_03_v5.1	1252839	1254091	-	1253	259	208	51	501
Tb927.3.4490	Tb927_03_v5.1	1253602	1256295	-	2694	497	395	102	1341
Tb927.3.4500	Tb927_03_v5.1	1256475	1259944	-	3470	1052	912	140	3839
Tb927.3.4510	Tb927_03_v5.1	1260167	1264660	-	4494	1875	1394	481	3971
Tb927.3.4520	Tb927_03_v5.1	1265164	1266120	-	957	186	164	22	222
Tb927.3.4530	Tb927_03_v5.1	1266277	1267053	-	777	484	474	10	4624
Tb927.3.4540	Tb927_03_v5.1	1267258	1268775	-	1518	402	316	86	1715
Tb927.3.4550	Tb927_03_v5.1	1269073	1271242	-	2170	1590	1192	398	3787
Tb927.3.4560	Tb927_03_v5.1	1271986	1276431	-	4446	2296	2025	271	4068
Tb927.3.4570	Tb927_03_v5.1	1276960	1279395	-	2436	1056	678	378	2043
Tb927.3.4580	Tb927_03_v5.1	1279500	1282748	-	3249	2028	1665	363	6313
Tb927.3.4590	Tb927_03_v5.1	1287351	1289172	-	1822	103	92	11	649
Tb927.3.4600	Tb927_03_v5.1	1289776	1293047	-	3272	4466	3025	1441	11832
Tb927.3.4610	Tb927_03_v5.1	1293531	1303027	-	9497	5246	4055	1191	12285
Tb927.3.4620	Tb927_03_v5.1	1303395	1307829	-	4435	1417	1223	194	3344
Tb927.3.4630	Tb927_03_v5.1	1308295	1313623	-	5329	2274	1714	560	7031
Tb927.3.4640	Tb927_03_v5.1	1315276	1316362	-	1087	13	11	2	45
Tb927.3.4650	Tb927_03_v5.1	1316508	1318041	-	1534	246	176	70	264
Tb927.3.4660	Tb927_03_v5.1	1318146	1320803	-	2658	588	459	129	1323
Tb927.3.4670	Tb927_03_v5.1	1320660	1323117	-	2458	556	477	79	1276
Tb927.3.4680	Tb927_03_v5.1	1323390	1325471	-	2082	588	421	167	1052
Tb927.3.4690	Tb927_03_v5.1	1325430	1327284	-	1855	782	576	206	2654
Tb927.3.4700	Tb927_03_v5.1;Tb927_03_v5.1	1327586;1327586	1328765;1328809	-;-	1224	507	428	79	1423
Tb927.3.4710	Tb927_03_v5.1	1329115	1332832	-	3718	1181	976	205	3340
Tb927.3.4720	Tb927_03_v5.1	1333773	1336482	-	2710	550	429	121	2155
Tb927.3.4730	Tb927_03_v5.1	1336586	1337962	-	1377	520	382	138	2471
Tb927.3.4740	Tb927_03_v5.1	1338096	1339418	-	1323	449	284	165	768
Tb927.3.4750	Tb927_03_v5.1	1339545	1342389	-	2845	1649	1242	407	2690
Tb927.3.4760	Tb927_03_v5.1	1342630	1346506	-	3877	1153	793	360	4666
Tb927.3.4770	Tb927_03_v5.1	1346761	1347986	-	1226	425	279	146	1041
Tb927.3.4780	Tb927_03_v5.1	1348120	1349442	-	1323	400	258	142	883
Tb927.3.4790	Tb927_03_v5.1	1349765	1352413	-	2649	1607	1236	371	2720
Tb927.3.4800	Tb927_03_v5.1	1352639	1354592	-	1954	570	374	196	822
Tb927.3.4810	Tb927_03_v5.1;Tb927_03_v5.1	1354950;1354950	1356515;1355766	-;-	1566	579	341	238	1204
Tb927.3.4820	Tb927_03_v5.1	1355989	1358388	-	2400	1201	1019	182	3297
Tb927.3.4830	Tb927_03_v5.1	1358917	1361420	-	2504	611	402	209	1360
Tb927.3.4840	Tb927_03_v5.1	1362003	1365220	-	3218	580	448	132	2187
Tb927.3.4850	Tb927_03_v5.1	1364414	1368019	-	3606	1144	863	281	3523
Tb927.3.4860	Tb927_03_v5.1	1368289	1369499	-	1211	106	85	21	113
Tb927.3.4870	Tb927_03_v5.1;Tb927_03_v5.1	1369724;1369724	1370695;1370764	-;-	1041	35	30	5	41
Tb927_03_v4.snoRNA.0100	Tb927_03_v5.1	1370335	1370433	+	99	0	0	0	0
Tb927.3.4880	Tb927_03_v5.1	1372191	1372755	-	565	159	117	42	318
Tb927.3.4890	Tb927_03_v5.1	1372947	1373571	-	625	333	279	54	788
Tb927.3.4900	Tb927_03_v5.1	1376018	1377455	+	1438	1457	880	577	3079
Tb927.3.4910	Tb927_03_v5.1	1377581	1378855	+	1275	649	479	170	774
Tb927.3.4920	Tb927_03_v5.1	1378996	1380959	+	1964	644	529	115	1640
Tb927.3.4930	Tb927_03_v5.1	1382454	1383148	+	695	20	11	9	20
Tb927.3.4940	Tb927_03_v5.1	1383288	1386855	+	3568	1548	1075	473	3068
Tb927.3.4950	Tb927_03_v5.1	1386977	1388502	+	1526	453	339	114	945
Tb927.3.4960	Tb927_03_v5.1	1388719	1395086	+	6368	2318	1827	491	4548
Tb927.3.4970	Tb927_03_v5.1	1395259	1398792	+	3534	600	487	113	3250
Tb927.3.4980	Tb927_03_v5.1	1399175	1401010	+	1836	1266	738	528	2220
Tb927.3.4990	Tb927_03_v5.1	1402185	1403610	+	1426	882	681	201	4573
Tb927.3.5000	Tb927_03_v5.1	1403982	1405842	+	1861	937	695	242	1681
Tb927.3.5010	Tb927_03_v5.1	1405984	1407746	+	1763	333	277	56	449
Tb927.3.5020	Tb927_03_v5.1	1407902	1412485	+	4584	2722	1986	736	6849
Tb927.3.5030	Tb927_03_v5.1	1412930	1415199	+	2270	1721	1365	356	2611
Tb927.3.5040	Tb927_03_v5.1	1415521	1417473	+	1953	347	189	158	573
Tb927.3.5050	Tb927_03_v5.1	1417688	1418920	+	1233	52	44	8	198
Tb927.3.5060	Tb927_03_v5.1	1419106	1420764	+	1659	392	354	38	6512
Tb3.NT.66	Tb927_03_v5.1	1420898	1421096	+	199	2	0	2	2
Tb927.3.5070	Tb927_03_v5.1	1421164	1424174	+	3011	286	230	56	971
Tb927.3.5080	Tb927_03_v5.1	1423885	1428969	+	5085	1514	1260	254	2647
Tb927.3.5090	Tb927_03_v5.1	1428758	1429640	+	883	1907	620	1287	2615
Tb927.3.5100	Tb927_03_v5.1	1430411	1433425	+	3015	1022	718	304	2897
Tb927.3.5110	Tb927_03_v5.1	1433760	1435292	+	1533	784	740	44	1669
Tb927.3.5120	Tb927_03_v5.1	1435679	1438022	+	2344	3087	1737	1350	7245
Tb927.3.5130	Tb927_03_v5.1	1438351	1440624	+	2274	1003	894	109	2342
Tb927.3.5140	Tb927_03_v5.1	1440801	1445019	+	4219	934	843	91	5631
Tb927.3.5150	Tb927_03_v5.1	1445701	1447128	+	1428	404	300	104	1706
Tb927.3.5160	Tb927_03_v5.1	1447240	1452012	+	4773	2886	2228	658	5789
Tb927.3.5170	Tb927_03_v5.1	1452140	1453632	+	1493	563	495	68	1330
Tb927.3.5180	Tb927_03_v5.1	1453785	1455250	+	1466	402	368	34	1384
Tb927.3.5190	Tb927_03_v5.1	1455437	1459102	+	3666	876	713	163	3359
Tb927.3.5200	Tb927_03_v5.1	1459261	1460747	+	1487	456	351	105	1119
Tb927.3.5210	Tb927_03_v5.1	1460900	1463290	+	2391	934	863	71	3149
Tb927.3.5220	Tb927_03_v5.1	1463417	1465599	+	2183	1043	635	408	1796
Tb927.3.5230	Tb927_03_v5.1	1468380	1470750	+	2371	1759	1148	611	3170
Tb927.3.5240	Tb927_03_v5.1	1470928	1472888	+	1961	1319	936	383	2549
Tb927.3.5250	Tb927_03_v5.1	1473200	1477510	+	4311	1043	918	125	2641
Tb927.3.5260	Tb927_03_v5.1	1479700	1481437	+	1738	730	544	186	1974
Tb927.3.5270	Tb927_03_v5.1	1481538	1482494	+	957	820	655	165	1280
Tb927.3.5280	Tb927_03_v5.1	1482597	1483755	+	1159	401	265	136	635
Tb927.3.5290	Tb927_03_v5.1	1483878	1487020	+	3143	1683	1074	609	2596
Tb927.3.5300	Tb927_03_v5.1	1487507	1488316	+	810	107	97	10	252
Tb927.3.5310	Tb927_03_v5.1	1488474	1495456	+	6983	1989	1317	672	3807
Tb927.3.5320	Tb927_03_v5.1	1495705	1497604	+	1900	890	604	286	2106
Tb927.3.5330	Tb927_03_v5.1	1497756	1498827	+	1072	219	202	17	358
Tb927.3.5340	Tb927_03_v5.1	1499002	1500498	+	1497	938	736	202	1410
Tb927.3.5350	Tb927_03_v5.1	1500661	1502104	+	1444	259	234	25	4436
Tb927.3.5360	Tb927_03_v5.1	1502268	1503097	+	830	319	185	134	462
Tb927.3.5370	Tb927_03_v5.1	1504120	1505708	+	1589	419	283	136	1135
Tb927.3.5380	Tb927_03_v5.1	1505831	1507777	+	1947	1230	976	254	12353
Tb927.3.5390	Tb927_03_v5.1	1508164	1511945	+	3782	206	161	45	408
Tb927.3.5400	Tb927_03_v5.1	1512077	1514072	+	1996	1580	1384	196	3143
Tb927.3.5410	Tb927_03_v5.1	1514197	1515076	+	880	325	287	38	763
Tb927.3.5420	Tb927_03_v5.1	1515376	1518439	+	3064	1880	1418	462	4836
Tb927.3.5430	Tb927_03_v5.1	1519471	1520580	+	1110	337	188	149	638
Tb927.3.5440	Tb927_03_v5.1	1521306	1526051	+	4746	4786	2557	2229	12393
Tb927.3.5450	Tb927_03_v5.1	1526191	1529718	+	3528	1895	1564	331	2844
Tb927.3.5460	Tb927_03_v5.1	1529352	1531555	+	2204	1105	706	399	2273
Tb927.3.5470	Tb927_03_v5.1	1531656	1532939	+	1284	119	109	10	165
Tb927.3.5480	Tb927_03_v5.1	1533067	1534922	+	1856	695	589	106	1965
Tb927.3.5490	Tb927_03_v5.1	1535025	1537910	+	2886	469	397	72	2985
Tb927.3.5500	Tb927_03_v5.1	1538179	1539265	+	1087	104	70	34	153
Tb927.3.5510	Tb927_03_v5.1	1539492	1542178	+	2687	474	392	82	1147
Tb927.3.5520	Tb927_03_v5.1	1542625	1545648	+	3024	287	256	31	2995
Tb927.3.5530	Tb927_03_v5.1	1547337	1555793	+	8457	4099	3050	1049	8871
Tb927.3.5540	Tb927_03_v5.1	1555909	1558125	+	2217	295	187	108	348
Tb927.3.5550	Tb927_03_v5.1	1558248	1559338	+	1091	313	189	124	1344
Tb927.3.5560	Tb927_03_v5.1	1559566	1560194	+	629	309	121	188	505
Tb927.3.5570	Tb927_03_v5.1	1560358	1561512	+	1155	227	180	47	1177
Tb927.3.5580	Tb927_03_v5.1	1561668	1563208	+	1541	604	449	155	760
Tb927.3.5590	Tb927_03_v5.1	1563363	1565502	+	2140	425	371	54	1279
Tb927.3.5600	Tb927_03_v5.1	1565890	1566861	+	972	474	397	77	1643
Tb927.3.5610	Tb927_03_v5.1	1566997	1568423	+	1427	877	440	437	1023
Tb927.3.5620	Tb927_03_v5.1	1568664	1572607	+	3944	1122	1007	115	4494
Tb927.3.5630	Tb927_03_v5.1	1572749	1573724	+	976	606	518	88	1091
Tb927.3.5640	Tb927_03_v5.1	1573934	1575623	+	1690	2250	1366	884	3745
Tb927.3.5650	Tb927_03_v5.1	1575993	1580457	+	4465	1736	1521	215	4038
Tb927.3.5660	Tb927_03_v5.1	1580614	1583258	+	2645	346	253	93	588
Tb927.3.5670	Tb927_03_v5.1	1583384	1584075	+	692	874	580	294	1477
Tb927.3.5680	Tb927_03_v5.1	1585958	1587472	+	1515	316	244	72	485
Tb927.3.5690	Tb927_03_v5.1	1589037	1593944	+	4908	1882	1360	522	3474
Tb927.3.5700	Tb927_03_v5.1	1594758	1595829	+	1072	849	687	162	1510
Tb927.3.5710	Tb927_03_v5.1	1596636	1597707	+	1072	910	731	179	1573
Tb927.3.5720	Tb927_03_v5.1	1598448	1599522	+	1075	519	324	195	651
Tb927.3.5730	Tb927_03_v5.1	1600328	1601399	+	1072	706	477	229	832
Tb927.3.5740	Tb927_03_v5.1	1601609	1602329	+	721	372	218	154	992
Tb927.3.5750	Tb927_03_v5.1	1603691	1605543	-	1853	984	788	196	1655
Tb927.3.5760	Tb927_03_v5.1	1605884	1608396	-	2513	297	215	82	679
Tb927.3.5770	Tb927_03_v5.1	1608770	1612137	-	3368	1320	831	489	2071
Tb927.3.5780	Tb927_03_v5.1	1613228	1618931	+	5704	1972	1571	401	4104
Tb927.3.5790	Tb927_03_v5.1	1620335	1622149	+	1815	295	216	79	10614
Tb927.3.5800	Tb927_03_v5.1	1623201	1625552	+	2352	368	313	55	571
Tb927.3.5810	Tb927_03_v5.1	1626012	1627306	+	1295	165	115	50	271
Tb927.3.5820	Tb927_03_v5.1	1627481	1628605	+	1125	421	309	112	694
Tb927.3.5830	Tb927_03_v5.1	1628732	1629709	+	978	81	42	39	99
Tb927.3.5850	Tb927_03_v5.1	1637900	1639342	-	1443	582	375	207	798
Tb927.3.5860	Tb927_03_v5.1	1641295	1642892	-	1598	103	73	30	484
Tb927.3.5870	Tb927_03_v5.1	1644624	1645145	-	522	137	105	32	163
Tb927.3.5880	Tb927_03_v5.1	1645938	1647798	-	1861	1293	1051	242	2701
Tb927.3.5890	Tb927_03_v5.1	1648542	1650097	-	1556	89	65	24	103
Tb927.3.5900	Tb927_03_v5.1	1651983	1653225	-	1243	55	47	8	96
Tb09.v4.0162	tryp_IXb-68a05.p2k3050	120	2922	+	2803	645	478	167	1074
Tb09.v4.0163	tryp_IXb-68a05.p2k3050	2942	4558	+	1617	1179	938	241	2795
Tb09.v4.0164	tryp_IXb-68a05.p2k3050	6432	7850	+	1419	581	457	124	848
Tb09.v4.0165	tryp_IXb-68a05.p2k3050	12727	13433	+	707	85	64	21	263
Tb09.v4.0166	tryp_IXb-68a05.p2k3050	15190	16749	+	1560	353	294	59	1284
Tb09.v4.0167	tryp_IXb-68a05.p2k3050	17995	19032	+	1038	223	184	39	375
Tb09.v4.0168	tryp_IXb-68a05.p2k3050	19221	20786	+	1566	545	313	232	1083
Tb09.v4.0169	tryp_IXb-68a05.p2k3050	22612	24081	+	1470	141	92	49	364
Tb09.v4.0170	tryp_IXb-68a05.p2k3050	26400	27527	+	1128	134	127	7	1088
Tb09.v4.0171	tryp_IXb-68a05.p2k3050	29583	35903	+	6321	2035	1546	489	2887
Tb09.v4.0172	tryp_IXb-68a05.p2k3050	36634	37606	+	973	532	427	105	1109
Tb09.v4.0173	tryp_IXb-68a05.p2k3050	38050	39542	+	1493	384	273	111	713
Tb09.v4.0174	tryp_IXb-68a05.p2k3050	41569	43143	+	1575	679	521	158	1340
Tb09.v4.0175	tryp_IXb-68a05.p2k3050	44648	46104	+	1457	435	368	67	697
Tb09.v4.0176	tryp_IXb-68a05.p2k3050	47357	48107	+	751	111	95	16	154
Tb09.v4.0177	tryp_IXb-68a05.p2k3050	53030	57418	+	4389	1019	838	181	1653
Tb09.v4.0178	tryp_IXb-68a05.p2k3050	60320	61634	+	1315	1577	1308	269	3797
Tb2.NT.1	Tb927_02_v5.1	10	723	-	714	1946	1459	487	4245
Tb927.2.100	Tb927_02_v5.1	1683	4236	-	2554	4244	3291	953	7658
Tb927.2.160	Tb927_02_v5.1	9690	11535	+	1846	2640	1923	717	4150
Tb927.2.170	Tb927_02_v5.1	11866	18011	+	6146	10629	6968	3661	18896
Tb927.2.200	Tb927_02_v5.1	18121	21832	+	3712	4528	2999	1529	7940
Tb927.2.220	Tb927_02_v5.1	23835	24984	-	1150	768	572	196	1805
Tb927.2.240	Tb927_02_v5.1	25548	27622	-	2075	2670	1904	766	3887
Tb927.2.270	Tb927_02_v5.1	31017	32823	-	1807	2144	1572	572	3451
Tb927.2.280	Tb927_02_v5.1	35293	38199	-	2907	1825	1365	460	3227
Tb927.2.300	Tb927_02_v5.1	43075	45675	-	2601	3525	2652	873	5416
Tb927.2.340	Tb927_02_v5.1	46128	48793	-	2666	1834	1270	564	4242
Tb927.2.370	Tb927_02_v5.1	55593	58404	-	2812	3252	2127	1125	4352
Tb927.2.380	Tb927_02_v5.1	60894	63800	-	2907	2911	2172	739	4133
Tb927.2.400	Tb927_02_v5.1	66261	69167	-	2907	1986	1506	480	2612
Tb927.2.420	Tb927_02_v5.1	74059	76659	-	2601	4741	3637	1104	7573
Tb927.2.450	Tb927_02_v5.1	77112	79774	-	2663	4507	3245	1262	9064
Tb927.2.460	Tb927_02_v5.1	83798	86389	-	2592	3507	2592	915	11527
Tb927.2.470	Tb927_02_v5.1	86844	90931	-	4088	2362	1677	685	5021
Tb927.2.480	Tb927_02_v5.1	89759	94133	-	4375	2212	1593	619	3218
Tb927.2.490	Tb927_02_v5.1	95001	97492	-	2492	2414	1913	501	3819
Tb927.2.510	Tb927_02_v5.1	98073	100650	-	2578	1968	1343	625	3977
Tb927.2.540	Tb927_02_v5.1	105096	108123	-	3028	4678	3583	1095	9028
Tb927.2.560	Tb927_02_v5.1	108732	111333	-	2602	3310	2150	1160	6148
Tb927.2.650	Tb927_02_v5.1	118323	119201	+	879	2968	2275	693	4475
Tb927.2.660	Tb927_02_v5.1	119465	123178	+	3714	5108	3486	1622	8842
Tb927.2.680	Tb927_02_v5.1	124183	125050	+	868	1531	1203	328	2857
Tb927.2.690	Tb927_02_v5.1	125307	133253	+	7947	7526	5140	2386	13003
Tb927.2.720	Tb927_02_v5.1	132369	140458	+	8090	8528	6035	2493	17072
Tb927.2.820	Tb927_02_v5.1	140725	142308	-	1584	3290	2483	807	4749
Tb927.2.830	Tb927_02_v5.1	143717	144837	-	1121	1143	944	199	2914
Tb927.2.900	Tb927_02_v5.1	151837	153619	+	1783	3697	2381	1316	5044
Tb927.2.910	Tb927_02_v5.1	153717	156642	+	2926	4408	3522	886	7881
Tb927.2.940	Tb927_02_v5.1	157654	158457	+	804	1115	746	369	1625
Tb927.2.950	Tb927_02_v5.1	158783	164921	+	6139	7034	4905	2129	13903
Tb927.2.960	Tb927_02_v5.1	164260	167528	+	3269	1151	828	323	4993
Tb927.2.980	Tb927_02_v5.1	166650	174630	+	7981	9607	7196	2411	17373
Tb927.2.1050	Tb927_02_v5.1	174643	176720	-	2078	2129	1395	734	3148
Tb927.2.1060	Tb927_02_v5.1	177859	178692	-	834	708	491	217	937
Tb927.2.1080	Tb927_02_v5.1	178829	181713	-	2885	2070	1536	534	5881
Tb927.2.1100	Tb927_02_v5.1	184197	186894	-	2698	2423	1707	716	3863
Tb927.2.1110	Tb927_02_v5.1	187019	190235	-	3217	4360	3182	1178	6564
Tb927.2.1120	Tb927_02_v5.1	190725	192910	-	2186	3384	2110	1274	5300
Tb927.2.1130	Tb927_02_v5.1	193038	197338	-	4301	2788	1844	944	4757
Tb927.2.1140	Tb927_02_v5.1	197308	198680	-	1373	988	707	281	1969
Tb927.2.1150	Tb927_02_v5.1	201101	203037	-	1937	1777	1278	499	3672
Tb927.2.1160	Tb927_02_v5.1	203618	204976	-	1359	1503	1214	289	4566
Tb927.2.1170	Tb927_02_v5.1	205540	207617	-	2078	2450	1708	742	4424
Tb927.2.1180	Tb927_02_v5.1	210041	212736	-	2696	4673	3427	1246	9135
Tb927.2.1200	Tb927_02_v5.1	212981	219351	-	6371	5265	3820	1445	11809
Tb927.2.1210	Tb927_02_v5.1	219959	226625	-	6667	4970	3318	1652	10506
Tb927.2.1250	Tb927_02_v5.1	229530	230553	+	1024	1224	861	363	1799
Tb927.2.1260	Tb927_02_v5.1	230672	234354	+	3683	3931	2791	1140	6427
Tb927.2.1290	Tb927_02_v5.1	234778	235442	+	665	707	511	196	1691
Tb927.2.1310	Tb927_02_v5.1	236387	245245	+	8859	6878	4802	2076	11493
Tb927.2.1330	Tb927_02_v5.1	244362	247458	+	3097	1626	1115	511	2830
Tb927.2.1344	Tb927_02_v5.1	248904	249150	+	247	188	150	38	296
Tb927.2.1350	Tb927_02_v5.1	249152	250379	-	1228	1164	966	198	5981
Tb927.2.1380	Tb927_02_v5.1	250916	257272	+	6357	4264	3024	1240	8763
Tb927.2.1389	Tb927_02_v5.1	260224	260359	-	136	133	110	23	487
Tb927.2.1398	Tb927_02_v5.1	260682	260759	-	78	54	48	6	62
Tb927.2.1407	Tb927_02_v5.1	261083	261265	-	183	52	43	9	196
Tb927.2.1416	Tb927_02_v5.1	261403	262886	-	1484	2310	1955	355	6894
Tb927.2.1425	Tb927_02_v5.1	262963	263177	-	215	198	148	50	649
